epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1927,2.98196,5.07694,1.6384,0.00167,0.57143,0.00296,0.0009,2.14367,4.70093,1.35742,0.000625,0.000625,0.000625
2,70.5289,2.35737,3.66188,1.34861,0.00217,0.74286,0.00405,0.00153,2.16435,4.48387,1.38881,0.00127035,0.00127035,0.00127035
3,104.197,2.13141,2.92944,1.27015,0.00158,0.54286,0.19924,0.09083,2.31269,4.14927,1.58411,0.00189371,0.00189371,0.00189371
4,138.063,2.00608,2.51943,1.25083,0.76159,0.42857,0.59116,0.25914,2.1412,2.96781,1.55713,0.001901,0.001901,0.001901
5,171.94,1.97742,2.53511,1.22347,0.56597,0.4,0.45639,0.26504,1.80343,2.81537,1.31055,0.001868,0.001868,0.001868
6,205.713,1.91085,2.35884,1.1628,0.63534,0.45714,0.5394,0.32541,1.73343,2.48622,1.27388,0.001835,0.001835,0.001835
7,239.373,1.90914,2.08076,1.15667,0.68474,0.51429,0.5527,0.33423,1.6437,2.37,1.23435,0.001802,0.001802,0.001802
8,273.188,1.80106,1.86794,1.11246,0.76903,0.6,0.63445,0.33581,1.61821,2.08771,1.24128,0.001769,0.001769,0.001769
9,306.936,1.74089,1.96193,1.08173,0.86504,0.57143,0.66936,0.38886,1.82081,1.66603,1.29394,0.001736,0.001736,0.001736
10,341.224,1.80987,1.6796,1.09734,0.75889,0.54286,0.57346,0.33788,1.80856,2.37992,1.32357,0.001703,0.001703,0.001703
11,375.129,1.57164,1.58855,1.0487,0.77239,0.67887,0.72489,0.43502,1.70469,1.56694,1.38407,0.00167,0.00167,0.00167
12,409.696,1.60152,1.55896,1.06795,0.91936,0.62857,0.71856,0.45251,1.61775,1.77752,1.32753,0.001637,0.001637,0.001637
13,444.123,1.55917,1.54412,1.04286,0.87714,0.71429,0.75892,0.52429,1.39798,1.63468,1.21692,0.001604,0.001604,0.001604
14,479.404,1.51774,1.34738,0.99161,0.91881,0.68571,0.71487,0.40464,1.76888,1.71054,1.33069,0.001571,0.001571,0.001571
15,514.483,1.75456,1.66719,1.11541,0.83554,0.57143,0.65515,0.43542,1.53887,1.81999,1.29342,0.001538,0.001538,0.001538
16,548.771,1.5681,1.47354,1.02745,0.7805,0.54286,0.60394,0.39807,1.67648,1.91124,1.27749,0.001505,0.001505,0.001505
17,584.324,1.48399,1.31775,0.99954,0.7724,0.48486,0.54152,0.3522,1.77682,1.96027,1.28981,0.001472,0.001472,0.001472
18,618.908,1.51744,1.43639,1.03569,0.79885,0.5675,0.62961,0.39349,1.60634,1.8751,1.27063,0.001439,0.001439,0.001439
19,654.446,1.46664,1.35817,1.05036,0.77156,0.6757,0.72816,0.44722,1.77963,1.47244,1.30667,0.001406,0.001406,0.001406
20,689.662,1.46838,1.30547,0.98515,0.91898,0.65714,0.72115,0.47184,1.49265,1.68677,1.18112,0.001373,0.001373,0.001373
21,724.456,1.42984,1.2088,0.9957,0.93732,0.68571,0.7764,0.44789,1.59592,1.36171,1.18882,0.00134,0.00134,0.00134
22,759.343,1.4584,1.18474,0.97993,0.98636,0.74286,0.79034,0.54449,1.26271,1.05982,1.10713,0.001307,0.001307,0.001307
23,794.047,1.41839,1.16612,0.99219,0.98548,0.74286,0.80426,0.56068,1.32857,1.21541,1.11072,0.001274,0.001274,0.001274
24,828.954,1.30125,1.01757,0.94457,0.94028,0.77143,0.83293,0.57838,1.26435,0.99956,1.08551,0.001241,0.001241,0.001241
25,864.354,1.2908,1.07795,0.92375,0.95397,0.77143,0.82446,0.58314,1.22382,1.07407,1.10179,0.001208,0.001208,0.001208
26,899.413,1.33089,1.08693,0.97221,0.86492,0.8,0.79691,0.56545,1.14493,1.14166,1.08284,0.001175,0.001175,0.001175
27,934.581,1.36917,1.04603,0.99057,0.86725,0.7467,0.80613,0.5511,1.28423,1.07767,1.0877,0.001142,0.001142,0.001142
28,972.701,1.2626,0.98449,0.95721,0.9551,0.71429,0.85079,0.57477,1.2374,1.16284,1.10211,0.001109,0.001109,0.001109
29,1011.62,1.31898,1.11576,0.96032,0.89677,0.74286,0.83821,0.60228,1.22123,1.23909,1.12779,0.001076,0.001076,0.001076
